sale_id,customer_id,sale_date,total_amount,payment_method
1,599,2025-07-15,27.33,Debit Card
2,393,2025-07-20,627.25,Credit Card
3,744,2025-10-10,506.34,Bank Transfer
4,909,2025-11-21,340.61,Unknown
5,110,2025-07-20,356.19,Credit Card
6,269,2025-06-24,797.19,Debit Card
7,628,2025-06-17,673.55,Bank Transfer
8,85,2025-05-29,728.97,Credit Card
9,48,2025-04-01,212.12,Credit Card
10,983,2026-01-18,65.41,Bank Transfer
11,755,2025-09-27,709.39,Debit Card
12,888,2026-02-17,118.12,Bank Transfer
13,632,2025-08-29,269.45,Unknown
14,373,2026-01-27,513.93,Debit Card
15,360,2025-04-10,443.73,Bank Transfer
16,899,2025-09-21,683.05,Debit Card
17,709,2025-10-15,321.16,Debit Card
18,567,2025-08-04,576.43,Bank Transfer
19,188,2025-08-03,292.07,Credit Card
20,534,2025-11-02,658.94,Debit Card
21,735,2026-02-16,598.22,Bank Transfer
22,171,2025-12-20,653.53,Bank Transfer
23,881,2025-04-18,187.81,Bank Transfer
24,45,2025-05-04,179.48,Debit Card
25,467,2025-10-03,38.11,Bank Transfer
26,336,2025-06-16,85.67,PayPal
27,433,2026-03-09,433.16,Debit Card
28,278,2025-04-02,439.59,Bank Transfer
29,483,2025-08-15,431.42,Debit Card
30,40,2025-12-18,36.41,Bank Transfer
31,688,2026-02-20,57.52,Bank Transfer
32,538,2025-05-24,686.02,Debit Card
33,827,2025-12-19,766.22,Credit Card
34,240,2025-05-03,432.68,PayPal
35,529,2025-12-09,690.36,Credit Card
36,396,2025-10-14,365.28,Bank Transfer
37,691,2026-01-19,793.0,Credit Card
38,873,2025-10-10,406.73,PayPal
39,945,2025-11-29,563.94,PayPal
40,77,2025-08-20,506.72,Debit Card
41,432,2025-04-19,794.13,Bank Transfer
42,140,2025-09-16,672.43,PayPal
43,833,2025-06-09,592.8,Debit Card
44,722,2025-06-19,424.09,Credit Card
45,849,2025-08-27,796.04,Debit Card
46,982,2025-09-28,752.76,PayPal
47,283,2025-06-15,256.37,Debit Card
48,651,2025-08-11,331.83,PayPal
49,335,2025-08-11,254.02,Debit Card
50,489,2026-02-02,571.12,Credit Card
51,657,2025-11-17,538.09,Debit Card
52,424,2025-08-20,748.79,Credit Card
53,335,2025-07-05,357.31,Debit Card
54,208,2025-09-14,155.4,Debit Card
55,968,2025-05-27,257.01,PayPal
56,673,2025-06-02,247.91,Unknown
57,21,2025-04-09,433.83,Bank Transfer
58,130,2025-08-16,333.26,PayPal
59,617,2026-02-11,319.24,Bank Transfer
60,853,2025-12-23,96.22,Credit Card
61,10,2025-08-10,764.9,PayPal
62,953,2025-08-16,169.4,Credit Card
63,931,2025-10-03,715.84,PayPal
64,348,2025-05-04,333.71,Credit Card
65,488,2025-03-22,333.01,Bank Transfer
66,505,2025-04-21,49.3,Bank Transfer
67,136,2025-08-05,677.85,Bank Transfer
68,296,2025-05-07,232.95,Bank Transfer
69,4,2025-07-16,92.98,Credit Card
70,603,2025-03-16,654.0,Bank Transfer
71,996,2026-01-17,677.34,PayPal
72,377,2025-10-06,762.43,PayPal
73,563,2025-11-18,171.32,Credit Card
74,625,2025-11-26,620.93,Credit Card
75,345,2025-07-25,705.64,Credit Card
76,909,2025-07-09,628.05,Credit Card
77,854,2025-08-07,787.97,Debit Card
78,15,2025-05-27,689.14,Credit Card
79,565,2025-09-02,249.52,Credit Card
80,612,2025-06-11,148.83,Bank Transfer
81,962,2025-10-30,248.28,Debit Card
82,236,2026-02-11,273.33,Credit Card
83,413,2025-08-05,306.01,Credit Card
84,332,2026-02-14,480.93,PayPal
85,783,2025-11-12,629.18,Credit Card
86,725,2025-09-11,56.58,Bank Transfer
87,704,2025-07-23,770.99,Debit Card
88,305,2025-07-21,758.43,Bank Transfer
89,508,2025-11-23,771.07,PayPal
90,25,2026-03-07,226.34,Bank Transfer
91,196,2025-06-19,483.98,Bank Transfer
92,879,2025-03-27,462.39,Bank Transfer
93,426,2025-10-27,90.95,PayPal
94,44,2025-06-20,549.07,Unknown
95,906,2025-12-02,629.36,PayPal
96,743,2025-04-12,638.05,Credit Card
97,531,2025-06-07,223.78,Credit Card
98,263,2026-01-06,539.03,PayPal
99,873,2025-05-26,294.78,Credit Card
100,770,2025-10-30,448.78,PayPal
101,189,2025-07-31,378.5,Bank Transfer
102,225,2025-10-24,240.58,Credit Card
103,764,2025-06-23,459.88,Bank Transfer
104,851,2025-04-03,42.3,Debit Card
105,385,2025-09-06,667.19,PayPal
106,122,2025-08-24,294.62,Credit Card
107,589,2026-03-09,30.23,Bank Transfer
108,476,2025-11-23,428.55,Bank Transfer
109,483,2025-11-16,528.25,PayPal
110,290,2025-05-31,123.48,PayPal
111,47,2025-05-21,386.89,Bank Transfer
112,253,2025-06-19,771.53,Unknown
113,614,2025-05-07,277.77,Debit Card
114,724,2025-12-25,76.71,Bank Transfer
115,494,2025-07-31,213.12,PayPal
116,257,2025-09-13,388.93,Debit Card
117,872,2025-07-16,470.79,Credit Card
118,621,2025-10-11,85.14,Debit Card
119,289,2026-02-23,747.97,Credit Card
120,410,2025-11-29,107.7,PayPal
121,504,2025-05-21,739.12,Unknown
122,576,2025-09-04,495.6,Debit Card
123,908,2025-09-28,549.04,Credit Card
124,270,2025-10-05,149.62,PayPal
125,396,2025-08-29,506.87,Credit Card
126,354,2025-12-30,237.79,Bank Transfer
127,816,2025-09-18,541.11,Credit Card
128,531,2025-09-15,659.0,Bank Transfer
129,375,2025-04-06,596.7,PayPal
130,404,2025-07-28,29.52,PayPal
131,459,2025-10-27,635.52,Credit Card
132,624,2025-06-07,303.54,Debit Card
133,850,2025-05-22,570.87,Bank Transfer
134,833,2026-03-10,331.11,Debit Card
135,828,2026-01-22,324.22,Bank Transfer
136,994,2026-01-01,587.75,Bank Transfer
137,717,2026-02-08,50.53,Credit Card
138,864,2025-06-04,72.36,Credit Card
139,144,2025-12-02,599.33,PayPal
140,951,2025-04-19,679.37,Bank Transfer
141,727,2025-05-15,741.72,Bank Transfer
142,299,2025-05-07,711.87,Debit Card
143,529,2025-06-21,730.1,Debit Card
144,202,2025-09-10,351.42,Credit Card
